交易日期	合约	成交序号	成交时间	买/卖	投机/套保	成交价	手数	成交额	开/平	手续费	平仓盈亏	实际成交日期
2017-04-11	RU1709	00614662	22:14:03	 卖	投机	15,510.000	2	310,200.00	开	16.75	--	2017-04-11
2017-04-11	RU1709	00614706	22:14:04	 卖	投机	15,510.000	2	310,200.00	开	16.75	--	2017-04-11
2017-04-11	RB1710	00617471	22:14:51	 卖	投机	3,017.000	12	362,040.00	开	43.44	--	2017-04-11
2017-04-11	MA709	00474380	22:15:23	买	投机	2,530.000	1	25,300.00	开	2.40	--	2017-04-11
2017-04-11	MA709	00474382	22:15:23	买	投机	2,530.000	3	75,900.00	开	7.20	--	2017-04-11
2017-04-11	MA709	00474384	22:15:24	买	投机	2,530.000	1	25,300.00	开	2.40	--	2017-04-11
2017-04-11	MA709	00474399	22:15:24	买	投机	2,530.000	1	25,300.00	开	2.40	--	2017-04-11
2017-04-11	MA709	00474401	22:15:24	买	投机	2,530.000	1	25,300.00	开	2.40	--	2017-04-11
2017-04-11	MA709	00474405	22:15:25	买	投机	2,530.000	3	75,900.00	开	7.20	--	2017-04-11
2017-04-11	MA709	00474431	22:15:25	买	投机	2,530.000	1	25,300.00	开	2.40	--	2017-04-11
2017-04-11	MA709	00474433	22:15:25	买	投机	2,530.000	3	75,900.00	开	7.20	--	2017-04-11
2017-04-11	MA709	00474453	22:15:25	买	投机	2,530.000	1	25,300.00	开	2.40	--	2017-04-11
2017-04-11	MA709	00474458	22:15:25	买	投机	2,530.000	1	25,300.00	开	2.40	--	2017-04-11
2017-04-11	MA709	00474492	22:15:26	买	投机	2,530.000	8	202,400.00	开	19.20	--	2017-04-11
2017-04-11	AG1706	00647754	22:21:56	 卖	投机	4,144.000	4	248,640.00	开	14.92	--	2017-04-11
2017-04-11	AG1706	00647755	22:21:56	 卖	投机	4,144.000	5	310,800.00	开	18.65	--	2017-04-11
2017-04-11	AG1706	00647757	22:21:56	 卖	投机	4,144.000	3	186,480.00	开	11.19	--	2017-04-11
2017-04-11	P1709	10127518	22:23:09	 卖	投机	5,214.000	15	782,100.00	开	45.00	--	2017-04-11
2017-04-11	Y1709	10127611	22:23:10	 卖	投机	5,974.000	6	358,440.00	开	18.00	--	2017-04-11
2017-04-11	Y1709	10127612	22:23:11	 卖	投机	5,974.000	5	298,700.00	开	15.00	--	2017-04-11
2017-04-11	NI1709	00657179	22:23:12	 卖	投机	85,070.000	6	510,420.00	开	43.20	--	2017-04-11
2017-04-11	Y1709	10127771	22:23:15	 卖	投机	5,974.000	1	59,740.00	开	3.00	--	2017-04-11
2017-04-11	RM709	00503344	22:23:16	 卖	投机	2,320.000	16	371,200.00	开	38.40	--	2017-04-11
